"Analysis_Family","Run_ID","Scenario","Uncertainty_Structure","Conditional_Success_Rate","Discount_Rate","Initial_Mediation_Resolution_Share","Final_Mediation_Resolution_Share","Logistic_Steepness_k","Case_Mix_Cost_Multiplier","Case_Mix_Time_Multiplier","Iterations","Random_Seed","Annual_Eligible_Cases","Time_Horizon_Years","Currency","Price_Year","Comparator","Mediation_Resolved_Per_100_Annual_Cases","Mediation_Attempts_Per_100_Annual_Cases","Failed_Attempts_To_Trial_Per_100_Annual_Cases","Direct_To_Trial_Per_100_Annual_Cases","Trial_Resolved_Per_100_Annual_Cases","Mediation_Resolved_2000_Annual_Cases","Mediation_Attempts_2000_Annual_Cases","Failed_Attempts_To_Trial_2000_Annual_Cases","Trial_Resolved_2000_Annual_Cases","Mean_NPV_Savings_Per_100_Annual_Cases_USD","Median_NPV_Savings_Per_100_Annual_Cases_USD","LB95_NPV_Savings_Per_100_Annual_Cases_USD","UB95_NPV_Savings_Per_100_Annual_Cases_USD","Probability_Positive_NPV_Savings","Mean_NPV_Savings_2000_Annual_Cases_USD","Median_NPV_Savings_2000_Annual_Cases_USD","LB95_NPV_Savings_2000_Annual_Cases_USD","UB95_NPV_Savings_2000_Annual_Cases_USD","Mean_Months_Saved_Per_100_Annual_Cases","Median_Months_Saved_Per_100_Annual_Cases","LB95_Months_Saved_Per_100_Annual_Cases","UB95_Months_Saved_Per_100_Annual_Cases","Probability_Positive_Time_Savings","Mean_Years_Saved_2000_Annual_Cases","Median_Years_Saved_2000_Annual_Cases","LB95_Years_Saved_2000_Annual_Cases","UB95_Years_Saved_2000_Annual_Cases","Year_1_Mediation_Resolution_Share","Year_5_Mediation_Resolution_Share","Year_10_Mediation_Resolution_Share"
"Conditional-success sensitivity","RUN_036","Low-income","fixed_horizon",0.8,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,267.5,53.5,732.5,786,4280,5350,1070,15720,667955.168297372,639835.424878196,164144.561522261,1268682.29320822,1,13359103.3659474,12796708.4975639,3282891.23044522,25373645.8641644,7327.84596509292,7113.75422388361,3049.74357180788,12425.9880078725,1,12213.0766084882,11856.257039806,5082.90595301314,20709.9800131208,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_037","High-income","annual_independent",0.8,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,600,120,400,520,9600,12000,2400,10400,5475717.52413617,5456860.07834263,3827851.34134501,7258168.39620017,1,109514350.482723,109137201.566853,76557026.8269001,145163367.924003,7606.03859604261,7602.51670481908,5511.46110734975,9689.55397473071,1,12676.7309934043,12670.8611746985,9185.76851224959,16149.2566245512,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_038","Middle-income","annual_independent",0.8,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,467.5,93.5,532.5,626,7480,9350,1870,12520,2313776.16806525,2306110.29548668,1691758.52679715,2978482.73171647,1,46275523.361305,46122205.9097337,33835170.535943,59569654.6343295,9197.97700393568,9210.28226747241,7212.53153778339,11112.4394559715,1,15329.9616732261,15350.4704457873,12020.8858963057,18520.7324266192,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_039","Low-income","annual_independent",0.8,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,267.5,53.5,732.5,786,4280,5350,1070,15720,664449.86158496,662690.669607683,479607.070033772,860077.298183252,1,13288997.2316992,13253813.3921537,9592141.40067543,17201545.963665,7298.94688016707,7292.13735623397,5625.28542236112,8992.11807037551,1,12164.9114669451,12153.56226039,9375.4757039352,14986.8634506259,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_040","High-income","fixed_horizon",0.75,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,640,160,360,520,9600,12800,3200,10400,5410517.18863052,5121886.67451345,1097119.45590261,10855129.1925551,0.9988,108210343.77261,102437733.490269,21942389.1180521,217102583.851102,7509.5301114637,7347.13770869777,2054.68761851715,13590.4368868336,0.9999,12515.8835191062,12245.2295144963,3424.47936419525,22650.7281447227,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_041","Middle-income","fixed_horizon",0.75,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,498.666666666667,124.666666666667,501.333333333333,626,7480,9973.33333333333,2493.33333333333,12520,2293981.18823213,2187513.47803489,664144.465617756,4334281.51840309,1,45879623.7646427,43750269.5606977,13282889.3123551,86685630.3680618,9101.52730131558,9114.57269365967,3675.00084153691,14550.251385191,1,15169.2121688593,15190.9544894328,6125.00140256152,24250.4189753183,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_042","Low-income","fixed_horizon",0.75,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,285.333333333333,71.3333333333333,714.666666666667,786,4280,5706.66666666667,1426.66666666667,15720,660631.342773124,633172.933373499,156759.515903504,1262680.10723694,0.9999,13212626.8554625,12663458.66747,3135190.31807009,25253602.1447388,7215.11839573007,7013.1856234128,2912.61059888187,12339.2346848402,1,12025.1973262168,11688.642705688,4854.35099813645,20565.3911414004,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_043","High-income","annual_independent",0.75,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,640,160,360,520,9600,12800,3200,10400,5379408.8913051,5359556.59438736,3721465.70511933,7163267.20519816,1,107588177.826102,107191131.887747,74429314.1023866,143265344.103963,7472.51361640293,7470.05610929224,5369.19004790987,9554.29238511528,1,12454.1893606716,12450.0935154871,8948.65007984979,15923.8206418588,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_044","Middle-income","annual_independent",0.75,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,498.666666666667,124.666666666667,501.333333333333,626,7480,9973.33333333333,2493.33333333333,12520,2282253.43861128,2274833.97122702,1659955.43588268,2948851.63633922,1,45645068.7722255,45496679.4245404,33199108.7176536,58977032.7267843,9062.71695176359,9075.90821454038,7073.66725611057,10979.0911129827,1,15104.5282529393,15126.5136909006,11789.445426851,18298.4851883045,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_045","Low-income","annual_independent",0.75,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,285.333333333333,71.3333333333333,714.666666666667,786,4280,5706.66666666667,1426.66666666667,15720,657121.363124531,655428.637581026,472293.327356394,853004.73698523,1,13142427.2624906,13108572.7516205,9445866.54712787,17060094.7397046,7185.82519156952,7180.22513883698,5507.06703549759,8881.75709451146,1,11976.3753192825,11967.0418980616,9178.44505916266,14802.9284908524,0.0749518089481767,0.2,0.33577223804673
"Discount-rate sensitivity","RUN_046","High-income","fixed_horizon",0.95,0.03,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,6511561.08920361,6176363.55181582,1639091.97886951,12654927.0919927,0.9999,130231221.784072,123527271.036316,32781839.5773902,253098541.839854,7957.91487928409,7782.09680073862,2581.22303247963,13970.7209090565,1,13263.1914654735,12970.1613345644,4302.03838746605,23284.5348484274,0.160791725977255,0.45,0.745984289445429
"Discount-rate sensitivity","RUN_047","Middle-income","fixed_horizon",0.95,0.03,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,393.684210526316,19.6842105263158,606.315789473684,626,7480,7873.68421052632,393.684210526316,12520,2724911.36500096,2605249.64646763,880756.933579372,5023771.21766064,1,54498227.3000192,52104992.9293526,17615138.6715874,100475424.353213,9555.64204537771,9573.0917756981,4212.27627180355,14923.8910057863,1,15926.0700756295,15955.1529594968,7020.46045300591,24873.1516763106,0.119582861398382,0.35,0.591006895018954
"Discount-rate sensitivity","RUN_048","Low-income","fixed_horizon",0.95,0.03,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,225.263157894737,11.2631578947369,774.736842105263,786,4280,4505.26315789474,225.263157894737,15720,776810.687605905,745370.282979895,207603.950166744,1458023.08375975,1,15536213.7521181,14907405.6595979,4152079.00333488,29160461.675195,7594.83231358387,7376.47994872101,3366.59499995153,12633.1707897364,1,12658.0538559731,12294.1332478684,5610.99166658588,21055.2846495606,0.0749518089481767,0.2,0.33577223804673
"Discount-rate sensitivity","RUN_049","High-income","annual_independent",0.95,0.03,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,6476908.45902871,6453514.42040683,4590058.71301664,8506021.1834837,1,129538169.180574,129070288.408137,91801174.2603329,170120423.669674,7922.28196887342,7918.1922418388,5839.53297280317,9996.4396957723,1,13203.8032814557,13196.9870697313,9732.55495467195,16660.7328262872,0.160791725977255,0.45,0.745984289445429
"Discount-rate sensitivity","RUN_050","Middle-income","annual_independent",0.95,0.03,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,393.684210526316,19.6842105263158,606.315789473684,626,7480,7873.68421052632,393.684210526316,12520,2711832.4226629,2703707.16896214,2002875.09586716,3473889.83863643,1,54236648.4532579,54074143.3792427,40057501.9173433,69477796.7727287,9518.32975908012,9525.95076203495,7544.62351325604,11421.1107392514,1,15863.8829318002,15876.5846033916,12574.3725220934,19035.184565419,0.119582861398382,0.35,0.591006895018954
"Discount-rate sensitivity","RUN_051","Low-income","annual_independent",0.95,0.03,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,225.263157894737,11.2631578947369,774.736842105263,786,4280,4505.26315789474,225.263157894737,15720,772900.034104415,771191.33282784,561780.853219073,996570.955318466,1,15458000.6820883,15423826.6565568,11235617.0643815,19931419.1063693,7566.86666895075,7560.19455138103,5915.19872410319,9254.32774613496,1,12611.4444482512,12600.3242523017,9858.66454017198,15423.8795768916,0.0749518089481767,0.2,0.33577223804673
"Discount-rate sensitivity","RUN_052","High-income","fixed_horizon",0.95,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,5734691.96317123,5439485.54532471,1443538.26514911,11145116.7692023,0.9999,114693839.263425,108789710.906494,28870765.3029821,222902335.384046,7957.91487928409,7782.09680073862,2581.22303247963,13970.7209090565,1,13263.1914654735,12970.1613345644,4302.03838746605,23284.5348484274,0.160791725977255,0.45,0.745984289445429
"Discount-rate sensitivity","RUN_053","Middle-income","fixed_horizon",0.95,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,393.684210526316,19.6842105263158,606.315789473684,626,7480,7873.68421052632,393.684210526316,12520,2400093.13572278,2294695.48024324,775767.864480006,4424921.4744439,1,48001862.7144555,45893909.6048649,15515357.2896001,88498429.4888779,9555.64204537771,9573.0917756981,4212.27627180355,14923.8910057863,1,15926.0700756295,15955.1529594968,7020.46045300591,24873.1516763106,0.119582861398382,0.35,0.591006895018954
"Discount-rate sensitivity","RUN_054","Low-income","fixed_horizon",0.95,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,225.263157894737,11.2631578947369,774.736842105263,786,4280,4505.26315789474,225.263157894737,15720,685301.070854802,657564.399228003,183147.852665918,1286265.49115978,1,13706021.417096,13151287.9845601,3662957.05331836,25725309.8231957,7594.83231358387,7376.47994872101,3366.59499995153,12633.1707897364,1,12658.0538559731,12294.1332478684,5610.99166658588,21055.2846495606,0.0749518089481767,0.2,0.33577223804673
"Discount-rate sensitivity","RUN_055","High-income","annual_independent",0.95,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,5703816.91768343,5682154.06000756,4057738.78630905,7467838.76809793,1,114076338.353669,113643081.200151,81154775.7261809,149356775.361959,7922.28196887342,7918.1922418388,5839.53297280317,9996.4396957723,1,13203.8032814557,13196.9870697313,9732.55495467195,16660.7328262872,0.160791725977255,0.45,0.745984289445429
"Discount-rate sensitivity","RUN_056","Middle-income","annual_independent",0.95,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,393.684210526316,19.6842105263158,606.315789473684,626,7480,7873.68421052632,393.684210526316,12520,2388435.26414045,2380903.44051917,1768512.07689899,3050410.62525615,1,47768705.2828091,47618068.8103833,35370241.5379797,61008212.505123,9518.32975908012,9525.95076203495,7544.62351325604,11421.1107392514,1,15863.8829318002,15876.5846033916,12574.3725220934,19035.184565419,0.119582861398382,0.35,0.591006895018954
"Discount-rate sensitivity","RUN_057","Low-income","annual_independent",0.95,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,225.263157894737,11.2631578947369,774.736842105263,786,4280,4505.26315789474,225.263157894737,15720,681806.831622818,680339.202397756,498044.353030504,877527.297793471,1,13636136.6324564,13606784.0479551,9960887.06061008,17550545.9558694,7566.86666895075,7560.19455138103,5915.19872410319,9254.32774613496,1,12611.4444482512,12600.3242523017,9858.66454017198,15423.8795768916,0.0749518089481767,0.2,0.33577223804673
"Discount-rate sensitivity","RUN_058","High-income","fixed_horizon",0.95,0.08,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,4781727.88368724,4535577.47687802,1203657.88048638,9293073.79794718,0.9999,95634557.6737447,90711549.5375604,24073157.6097277,185861475.958944,7957.91487928409,7782.09680073862,2581.22303247963,13970.7209090565,1,13263.1914654735,12970.1613345644,4302.03838746605,23284.5348484274,0.160791725977255,0.45,0.745984289445429
"Discount-rate sensitivity","RUN_059","Middle-income","fixed_horizon",0.95,0.08,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,393.684210526316,19.6842105263158,606.315789473684,626,7480,7873.68421052632,393.684210526316,12520,2001643.55642429,1913743.41004547,646979.370969207,3690321.60676415,1,40032871.1284858,38274868.2009094,12939587.4193841,73806432.135283,9555.64204537771,9573.0917756981,4212.27627180355,14923.8910057863,1,15926.0700756295,15955.1529594968,7020.46045300591,24873.1516763106,0.119582861398382,0.35,0.591006895018954
"Discount-rate sensitivity","RUN_060","Low-income","fixed_horizon",0.95,0.08,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,225.263157894737,11.2631578947369,774.736842105263,786,4280,4505.26315789474,225.263157894737,15720,572963.521662385,549773.566574965,153125.455527854,1075415.22544017,1,11459270.4332477,10995471.3314993,3062509.11055709,21508304.5088034,7594.83231358387,7376.47994872101,3366.59499995153,12633.1707897364,1,12658.0538559731,12294.1332478684,5610.99166658588,21055.2846495606,0.0749518089481767,0.2,0.33577223804673
"Discount-rate sensitivity","RUN_061","High-income","annual_independent",0.95,0.08,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,4755494.66672625,4737260.94149631,3403468.51927892,6198469.41572338,1,95109893.334525,94745218.8299262,68069370.3855784,123969388.314468,7922.28196887342,7918.1922418388,5839.53297280317,9996.4396957723,1,13203.8032814557,13196.9870697313,9732.55495467195,16660.7328262872,0.160791725977255,0.45,0.745984289445429
"Discount-rate sensitivity","RUN_062","Middle-income","annual_independent",0.95,0.08,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,393.684210526316,19.6842105263158,606.315789473684,626,7480,7873.68421052632,393.684210526316,12520,1991732.75524333,1985874.19627082,1485438.06840925,2534723.45209192,1,39834655.1048666,39717483.9254163,29708761.3681849,50694469.0418383,9518.32975908012,9525.95076203495,7544.62351325604,11421.1107392514,1,15863.8829318002,15876.5846033916,12574.3725220934,19035.184565419,0.119582861398382,0.35,0.591006895018954
"Discount-rate sensitivity","RUN_063","Low-income","annual_independent",0.95,0.08,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,225.263157894737,11.2631578947369,774.736842105263,786,4280,4505.26315789474,225.263157894737,15720,569982.142421274,568504.626669626,419665.038926716,731277.682287722,1,11399642.8484255,11370092.5333925,8393300.77853432,14625553.6457544,7566.86666895075,7560.19455138103,5915.19872410319,9254.32774613496,1,12611.4444482512,12600.3242523017,9858.66454017198,15423.8795768916,0.0749518089481767,0.2,0.33577223804673
"Resolution-ceiling sensitivity","RUN_064","High-income","fixed_horizon",0.95,0.05,0.15,0.6,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",398,418.947368421053,20.9473684210526,581.052631578947,602,7960,8378.94736842105,418.947368421053,12040,4786904.65681279,4540487.76373715,1204960.97926566,9303134.62446454,0.9999,95738093.1362559,90809755.2747429,24099219.5853132,186062692.489291,6598.43775407306,6452.65526394577,2140.26409776436,11584.0560870927,1,10997.3962567884,10754.4254399096,3567.10682960726,19306.7601451544,0.158093794482941,0.375,0.596988217084072
"Resolution-ceiling sensitivity","RUN_065","High-income","annual_independent",0.95,0.05,0.15,0.6,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",398,418.947368421053,20.9473684210526,581.052631578947,602,7960,8378.94736842105,418.947368421053,12040,4760566.60762682,4744319.10723592,3407288.26062565,6212047.53706309,1,95211332.1525365,94886382.1447183,68145765.2125129,124240950.741262,6568.86270899977,6562.01406196407,4869.3656776897,8252.56070693271,1,10948.1045149996,10936.6901032735,8115.60946281617,13754.2678448879,0.158093794482941,0.375,0.596988217084072
"Resolution-ceiling sensitivity","RUN_066","High-income","fixed_horizon",0.95,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,5734691.96317123,5439485.54532471,1443538.26514911,11145116.7692023,0.9999,114693839.263425,108789710.906494,28870765.3029821,222902335.384046,7957.91487928409,7782.09680073862,2581.22303247963,13970.7209090565,1,13263.1914654735,12970.1613345644,4302.03838746605,23284.5348484274,0.160791725977255,0.45,0.745984289445429
"Resolution-ceiling sensitivity","RUN_067","High-income","annual_independent",0.95,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,5703816.91768343,5682154.06000756,4057738.78630905,7467838.76809793,1,114076338.353669,113643081.200151,81154775.7261809,149356775.361959,7922.28196887342,7918.1922418388,5839.53297280317,9996.4396957723,1,13203.8032814557,13196.9870697313,9732.55495467195,16660.7328262872,0.160791725977255,0.45,0.745984289445429
"Illustrative paired case-mix sensitivity","RUN_068","High-income","fixed_horizon",0.95,0.05,0.15,0.75,1,0.5,0.5,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,2259518.27932178,2133301.86336832,5058.83555485717,5037906.98296185,0.9754,45190365.5864356,42666037.2673663,101176.711097143,100758139.659237,3138.2359999788,3067.70771658716,285.477584188235,6287.2130395539,0.9875,5230.393333298,5112.84619431194,475.795973647058,10478.6883992565,0.160791725977255,0.45,0.745984289445429
"Illustrative paired case-mix sensitivity","RUN_069","High-income","annual_independent",0.95,0.05,0.15,0.75,1,0.5,0.5,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,2243643.40938235,2232141.47890128,1394301.87808892,3165770.40573097,1,44872868.1876469,44642829.5780256,27886037.5617784,63315408.1146194,3117.82532355455,3116.97747183496,2027.12159314763,4193.82875221667,1,5196.37553925759,5194.96245305826,3378.53598857938,6989.71458702779,0.160791725977255,0.45,0.745984289445429
"Illustrative paired case-mix sensitivity","RUN_070","High-income","fixed_horizon",0.95,0.05,0.15,0.75,1,0.75,0.75,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,3997105.1212465,3786879.56766404,751300.612559307,8086531.36764846,0.9982,79942102.4249301,75737591.3532808,15026012.2511861,161730627.352969,5548.07543963145,5424.46542977484,1443.08306620662,10120.6781848811,0.9998,9246.79239938575,9040.77571629141,2405.1384436777,16867.7969748019,0.160791725977255,0.45,0.745984289445429
"Illustrative paired case-mix sensitivity","RUN_071","High-income","annual_independent",0.95,0.05,0.15,0.75,1,0.75,0.75,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,3973730.16353289,3958275.83422346,2728498.91149145,5313065.38439596,1,79474603.2706578,79165516.6844693,54569978.229829,106261307.687919,5520.05364621398,5519.95643710164,3937.16770995048,7085.74153858977,1,9200.08941035664,9199.9273951694,6561.94618325081,11809.5692309829,0.160791725977255,0.45,0.745984289445429
"Illustrative paired case-mix sensitivity","RUN_072","High-income","fixed_horizon",0.95,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,5734691.96317123,5439485.54532471,1443538.26514911,11145116.7692023,0.9999,114693839.263425,108789710.906494,28870765.3029821,222902335.384046,7957.91487928409,7782.09680073862,2581.22303247963,13970.7209090565,1,13263.1914654735,12970.1613345644,4302.03838746605,23284.5348484274,0.160791725977255,0.45,0.745984289445429
"Illustrative paired case-mix sensitivity","RUN_073","High-income","annual_independent",0.95,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,5703816.91768343,5682154.06000756,4057738.78630905,7467838.76809793,1,114076338.353669,113643081.200151,81154775.7261809,149356775.361959,7922.28196887342,7918.1922418388,5839.53297280317,9996.4396957723,1,13203.8032814557,13196.9870697313,9732.55495467195,16660.7328262872,0.160791725977255,0.45,0.745984289445429
